uniq_id,jobtitle,company,jobdescription,advertiserurl
90d755eb5b34547c31978ce7a6eb519f,full stack developer,Saicon Consultants Inc.,"proficient in restful web servicesproficient in micro service architectureexcellent in creating responsive single page applicationsexperienced in both functional and oo programmingstrong experience working with databases (mongodb / production experience with any of the technologies in our stack (currently node, mongodb, react, ampersand.js, postgresql, chef, redis, aws, and more)experience working with heavily customizable, data driven applicationsexceptional coding skills in javascript (both frontend and backend)proficiency with data visualization and charting tools/frameworks like highcharts and d3.js is a huge plus!thorough knowledge of software development best practices, including coding standards, code reviews, source control management, build process, continuous integration and continuous delivery.exceptional verbal, written and listening skills.familiarity with web-based data visualization frameworks such as d3expertise with html/css/javascript, python, and relational databases (e.g. mysql); previous experience with hadoop and hive is a plusexpertise with statistical concepts such as deviation, confidence limit, and significanceunderstands web development patterns such as mvc, backbone.js, and django and both service-based and restful architecturecan verbally create clear pictures for others; can articulate reasoning for applying different information techniques to data setsdegree in cs, human-computer interaction, information science, information graphics, or related field  we are an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability. eoe/veterans/disabled","https://www.dice.com/jobs/detail/Full-Stack-Developer-Saicon-Consultants-Inc.-Pleasanton-CA-94566/saicon/694350?icid=sr1621-55p&q=&l=San%20Francisco,%20CA"
4b072aab5c96491c2d7f6731772b8825,full stack java engineer,RedRiver Systems L.L.C.,"opportunity for an open / full stack java engineer to work for the digital technology group of a leading fortune 200 dallas corporation.  this organization is going through a great deal of technology transformation to meet the growing needs of their customers and their business. this is an excellent time to get on board.responsibilitiesparticipate as member of small engineering team focused on end-to-end delivery of customer-focused software using agile and lean methodologiesbuild, test, deploy, and monitor software using various technology stacks, including java, python and nodejscontribute to product ux designdefine, review, and collaborate on technical architecture of solutionscollaborate daily with project stakeholders including it operations and infrastructure staff, product owner(s), end users, and other business leadershipcontribute forward-thinking innovation and ideas to projects that introduce new technology and processes to increase business value and improve end-user experiencerequirements7+ years hands on development experience and scripting language experience (one or more of the following): java, nodejs, ruby, scala, python, powershell, bash, golang5+ years’ experience with agile software development methodologiessome experience with cloud iaas and paas platforms (one or more of the following): azure, aws, rackspace, heroku, cloudfoundry, openstackexperience with back-end service-oriented architecture (soa) systems, rest apis or microservice architecturesexperience with front-end web application development (one or more of the following): html, javascript, css, angularjs, reactexperience in windows and linux-based os environments and related tools (one or more of the following): windows server, iis, apache, nginxexperience with administering back-end database technologies (one or more of the following): mongodb, sql server, mysql, postgres, cassandra, oraclesome experience with testing automation tools (unit, integration and acceptance tests)some experience with infrastructure automation tools (one or more of the following): chef, puppet, saltstack, cloudformation, azure resource manager, dockerexperience with continuous integration and hands-on experience (tools like jenkins, teamcity, team foundation server, msbuild, maven, ant, bamboo, circleci, travisci)bachelor’s degreeredriver is an equal opportunity employer offering benefits to our employees including medical, dental, vision, 401k, life, ltd and ad&d among others.","https://www.dice.com/jobs/detail/Full-Stack-Java-Engineer-RedRiver-Systems-L.L.C.-Dallas-TX-75201/10122941/6918?icid=sr528-18p&q=&l=Dallas,%20TX"
2e88654d255563f4d86baf821f92a8ac,full stack engineer,Dew Softech Inc,"position:          full stack engineerlocation:         houston, texasduration:         6 contract to hire  interview:        phone hire job description:  client is looking for a well-versed, seasoned “full stack” engineers with strong technical instincts.  we need people who can take ownership of the full stack for entire features in our code base, can quickly shift gears between projects, and never has any trouble finding more work to do. bonus points if you love digging into new technologies. we use the latest open-source projects and next-gen architectures to produce our large-scale apis and single platform.  collaborate with a small, talented team of designers, product managers, and engineers, in this fast growing tech company. as a full stack engineer you will:own the success of the products and features you launchwork independently and be responsible for making technical decisionsdeliver high quality software in a fast paced, iterative, and agile environmentrequired skills:5+ years’ experience building web applications2+ years’ experience with building python, node, .net, c#, or java servicesjavascript, node, react, sass/csspython, c#, nodeironmq, rabbitmq, amazon sqs, google pub/sub - or similar message queuing servicesnosql technologies - rethinkdb, mongodb, couchdb, and/or cassandraerlang/elixir/otp - interest and willingness to learn new technologies is a pluscloud environments - aws, google cloud, azure, etccomfortable working with *nix environments for developmentdistributed revision control; preferably gitfluent in english with excellent written and oral communication skills skills (add number of years for each): • 5+ years’ experience building web applications• 2+ years’ experience with building python, node, .net, c#, or java services• javascript, node, react, sass/css• python, c#, node• ironmq, rabbitmq, amazon sqs, google pub/sub - or similar message queuing services• nosql technologies - rethinkdb, mongodb, couchdb, and/or cassandra• erlang/elixir/otp - interest and willingness to learn new technologies is a plus• cloud environments - aws, google cloud, azure, etc• comfortable working with *nix environments for development• distributed revision control; preferably git• fluent in english with excellent written and oral communication skillsnote: please send the resumes dice@dewsoftech.com ","https://www.dice.com/jobs/detail/Full-Stack-Engineer-Dew-Softech-Inc-Houston%252C-TX-77001/10243845/732959?icid=sr554-19p&q=&l=Houston,%20TX"
39d56fc47d8fec2c2baa9e6e06142181,full-stack python developer,Cypress Group,"my client is a world-class media and entertainment company pushing the envelope of modern technology to bring the best content and services to the masses across a variety of platforms, devices and mediums.  they are currently buidling a large-scale, service-oriented platform driven by apis along with a suite of tools and applications to create simple, functional and elegant solutions to complex technical problems.  they are looking for talented engineers to join their team in their manhattan headquarters.qualified candidates should have at least 2 years of experience building applications in python, linux, building and integrating restful apis in aws, tuning and caching (memcache), and postgresql or mysql.  additional experience with php (yii, yii2), backbone.js, d3.js, redis, and agile/scrum are all highly desirable as is experience working on high-traffic, public facing web applications at large scale in a cloud-based environment (aws).  bscs or equivalent is required.  this is an opportunity to work on a top-notch team of engineers and data scientists to build a cutting-edge cloud-based infrastructure to deliver optimized information for modern media applications.  the team is a fast-paced, dynamic, collaborative agile group, so applicants must demonstrate excellent communication and organizational skills.  this position includes very competitive compensation, extremely comprehensive benefits package, a beautiful workplace and lots of opportunity for growth.  please send a copy of your resume to nyjobs@cypressg.com for immediate consideration.  ","https://www.dice.com/jobs/detail/Full%2526%252345Stack-Python-Developer-Cypress-Group-New-York-NY-10018/10121728/JR-Py-08?icid=sr11035-368p&q=&l=New%20York,%20NY"
6ecd60ed9119b189293f55a7f5c5c88a,full stack developer,UST Global Inc,"ust global is looking for full stack developer immediately with extensive experience in (angular/react, phantom js for ui, c# asp .net for current legacy backend and micro services for new development back ends) .experience in a major server-side web development stack is required.strong object-oriented design and programming in one or more of the following: java, perl, ruby, c#, c++, or pythonunderstanding and experience with web technologies (html, http, css, json) and web frameworks on the browser or server in any languagedatabase design and implementation using sql server, mysql, or oracleui design experiencesolid programming skills in your language of choice and a track record of getting stuff doneexperience developing react componentsexperience : min 7- 10 yearswork location : bellevue, wa","https://www.dice.com/jobs/detail/Full-Stack-Developer-UST-Global-Inc-Bellevue-WA-98004/ebuilt/716811?icid=sr2161-73p&q=&l=Seattle,%20WA"
9e52951cfbef712f753153a6f5c2fff5,full stack engineer,Tandem Recruiting Group,"our client has built the world’s most powerful distributed artificial intelligence system, which powers innovative products that solve some of the world’s toughest problems.combining evolutionary computation, deep learning and other ai techniques, running on one of the world’s largest computing grids, the platform enables them to understand truly massive data sets in a profound way, enabling cutting-edge products in the financial and e-commerce markets, along with scientific research in health and other domains.the r&d team includes world-renowned experts in evolutionary computation, deep learning, artificial life, and distributed computing. the quality of the team and technology has attracted some of the world’s most influential investors, making it the best-funded independent artificial intelligence company.they're looking for an exceptional full stack engineer to join their experimental labs team. this “skunk works” style team uses techniques in computer vision, neural networks and machine learning to build novel consumer and business-facing applications in the worlds of e-commerce, content, advertising and more.this is not your everyday development roll. as the primary engineer, you will rapidly build new products from concept to mvp, giving you the opportunity to truly flex your full stack muscles. to thrive in this role, you’ll need to have entrepreneurial drive, to be a risk taker, and to have the ability to collaborate and influence people on other teams.if you are a highly skilled full stack engineer excited about joining a high velocity, experimental team seeking to change the way people interact and consume products and content then please apply now!please have:•the ability to rapidly implement and deploy full stack web applications•expertise with backend development in python, java, scala, or node.js•excellent skills with html, javascript, css•experience with databases and datastores (rdbms, nosql)•experience with frameworks and libraries like angularjs, react, ember or backbone•experience with javascript and css libraries like jquery and bootstrap•facility with cloud environments such as aws, or heroku•knowledge of server/client interaction issues and solutions (e.g., cors, caching, dns, oauth, rest apis, ajax, web application performance optimization, etc.)•smarts, motivation, and excellent communication skills•excellent problem solving skills and ability to ramp up quickly on new technologies•a compulsion to rapidly build and ship products!great to have:•devops experience•ios or android development experience","https://www.dice.com/jobs/detail/Full-Stack-Engineer-Tandem-Recruiting-Group-San-Francisco-CA-94105/10111438/SJ-9275?icid=sr7074-236p&q=&l=San%20Jose,%20CA"
ef30e93383d71631c578bbf1496d1470,full stack developer,L2R Consulting,"we are currently building a new team of engineers in our plantation, florida office to rebuild our core platform supporting our email marketing channel. the team will build new applications as well as maintain and support existing applications in a mixed windows and linux environment. our business growth is often driven by technology so it’s not rare that our code directly impacts the bottom line. don’t take just another job, join our team and contribute meaningfully to help solve diverse and important problems utilizing cutting-edge tools. this role requires strong problem solving, designing, coding and communication skills. candidates must be able to work independently while being strongly team-oriented and results driven.  required qualifications at least 3 years professional programming experience in all phases of development life-cycle expert in at least two languages or frameworks: c++, c#, java, python, ruby, perl, scala, .net, etc. comfortable working in a mixed linux and windows environment proficiency with daemons or windows services and web applications proficiency in sql and database design proficiency with at least one orm such as n-hibernate or entity framework proficiency with javascript, html, css experience programming and tuning relational databases in ms sql server or mysql  experience in a virtualized, high-volume and highly-available environment understanding of object oriented principles and multi-tiered architecture angular.js and bootstrap or similar frameworks messaging, brokering and queuing: rabbitmq, kavka, msmq, etc. nosql databases    beneficial qualifications big data toolset experience especially apache stack continuous integration with teamcity or similar tool automated deployments with octopus or similar tool contributed in a team with an agile, iterative process working knowledge of jira and confluence familiarity with email marketing or the ad-tech industry  ","https://www.dice.com/jobs/detail/Full-Stack-Developer-L2R-Consulting-Ft.-Lauderdale-FL-33324/10485628/743823?icid=sr48084-1603p&q=&l=California,%20Us,%20CALIFORNIA"
d34bcd54a2b8fb7c3cf539a4f24c2007,full stack javascript engineer,"SolTech, Inc","soltech staffing solutionsat soltech, we work with a catered selection of incredible clients that match our integrity and standard for tech talent in order to help them grow teams that will create significant impact on atlanta's tech community. we're excited to present opportunities to our network to work in some incredible environments that we've vetted first-hand. apply through soltech for a catered approach to your job search, and we'll make sure you land where you will be nurtured in your career growth. about the company a human connection, aside from cultural differences, is essential to how we communicate with others. when it comes to healthcare it, crossing a language barrier can mean the world in a patient’s experience during the most vulnerable experiences we have. our client knows this challenge, and is quickly becoming a game-changer in the tech industry for providing the essential language tools needed so that healthcare professionals can provide the care they need for their patients. a small boutique company transitioning into a scaling phase as a technology provider, this is the environment for entrepreneurial innovators eager to change the world we live in.about the roleas a full stack javascript software engineer, you’ll be utilizing your extensive experience in the backend of software development using the reactjs and nodejs frameworks. this role requires a critical thinker that’s keen on new technologies, and excited to implement them in the foundation for a fast-growing software platform created to bridge the communication and cultural gaps in healthcare between service providers and patients. day to dayyou will work directly with the soltech engineering team to build out the platform, contributing as a senior member but also making technology decisions that will be carried through as your team is built out long-termwork directly with the vice president of it at your organization to make critical growth decisions for the technology under the hood of the platform, and build out the significant aspects of the infrastructure alongside the soltech engineering teamimplement and execute testing and quality assurance processes for the long-term efficacy of the platformworking with cutting edge technology means you’ll be exposed to frequent challenges as you’re getting in on the ground floor of a new platform; you’ll be learning constantly, and helping educate a growing team with your expertise as wellabout you you’re passionate about the importance of bridging cultural gaps in the healthcare industry, and know that technology can play a significant part in that improvement processyou have at least 3-5 years of engineering experience and have made leadership decisions when it comes to softwareyou can take requirements and jump into action for building an application; you have notable examples of this type of work in your historyyou’re eager to make a significant impact on the growth of an organization on the technology side, and have a deeply entrepreneurial and self-motivated work ethichighly proficient with the javascript programming languagehighly proficient building server side infrastructure using nodejshighly proficient utilizing reactjs on the front end of applicationsnotable experience scaling an application with amazon web services and postgresql culture and benefitsjoin a women-led, minority-owned business; this organization believes in diversity and the dynamic element that brings to software, and wants open-minded team members eager to embrace a diverse workplacejoin an open, collaborative office (meditation room included!) with open areas for the tech team to grow and engage with one anothercompetitive pay, with significant ownership of the technology direction of the application from the beginning of its growthgrow your tech stack under the guidance of seasoned entrepreneurs experienced in tech, a great place to make your mark on your career welcome to soltech at soltech, our founders started with a vision over 18 years ago for the success of our firm: to provide expert custom software solutions and project management support to our incredible community here in atlanta, ga. that vision has not only come to fruition, but has grown into a wide portfolio of solutions we provide to our clients – clients nurtured over decades of genuine connection with the technology community. we’re homegrown and founder-led, and we welcome creative, intuitive thinkers to our team that can help pave the landscape for what’s next to come in high quality custom software development and staffing.read more at http://soltech.net/our-story.","https://www.dice.com/jobs/detail/Full-Stack-Javascript-Engineer-SolTech%252C-Inc-Norcross-GA-30092/10107031/2016-1890?icid=sr2325-78p&q=&l=Atlanta,%20GA"
571a08dea5b08f0b89ba5a8c1766d468,full stack developer,TNT Staffing,"position descriptionthe ideal candidate will thrive in a work environment that requires strong problem solving skills and independent self-direction, coupled with an aptitude for team collaboration and open communication. you will work with the development team to design and deliver finished, high quality, and compelling features and products on time. responsibilities design, build, and maintain efficient, reusable, and reliable ruby code with full-stack developmentroll out new features, and analyzing (and reacting) to the results you discover from our system services and user feedbackoptimize existing functionality for improved response timescollaborate with the team to design, develop, unit test, and support new featuressearching creatively for the best solution, while building for the end-userconsistently deliver readable, maintainable and efficient codeperformance tuning, testing, refactoring, usability, and automationparticipate actively in scrums, sprint planning meetings, and sprint retrospectives.rapidly mockup a proof-of-concept implementation of an idea and present to internal stakeholdersstay informed of new tools, libraries, and best practices and sharing ideas with the team for continuous improvement of the tool-chain and development processsupport, maintain, and help document software functionalitywork with other departments, stakeholders, and customers on software development, improvements, internal tools, and implementation issuesqualifications: b.s. in a stem field or equivalent experience4+ years programming experience for both web and mobile appsproficient in ruby 2+, rails 4+, rspec, javascript coffeescript/angular, css/scss, html, postgres dbif you don’t have ruby experience, strong experience in multiple of the following is desired: python, php, java or go.proficient in modifying any gem library or writing a custom ruby gem and bundling it into your own projectproficient in with git and github.3+ years linux sysadmin experience; vps2+ years of sql, any flavor (mysql, sql server, postgresql, sybase, oracle, etc.)2+ years fe/ui developmentrequirementsexperience with amazon web services (aws) a plusopen-source contributionsunderstanding web application security (owasp)understanding of software development practices and life-cycleexceptional programming skills, ability to produce quality code that is maintainable, efficient, reliable and secure.agile, lean, or similar development methodologies/experiencedistributed version control (git) and regular deploymentsexperience in database design and concepts (postgres, sqlite, orm)understanding of media monetization, trafficking, and ad-operationsfamiliarity with writing regular expressionsif you don’t have ruby experience, strong experience in multiple of the following is desired: python, php, java or go.strong knowledge with ui/ux, html/html5, xhtml, css 2/3, javascript, jquery, ajax, materialized, bootstrap, responsive, and mobile with direct experience optimizing design concepts around these technologies.web standards, responsive design, and cross-browser compatibility using jquery, angularjs / ext js or similarself-motivated and able to work in a small team with minimal supervisionstrong conceptualization ability, strong visual communication ability ability to solve problems creatively and effectivelykey attributes:wants to build something meaningful, always with the end-user experience in mindis a forward thinker, obsessed with good software design and best practicesis serious and professional. our desire is to build a lasting enterprisebrings passion, innovation and problem solving to every endeavorhas a preoccupation with staying on top of industry trends and new technologydesire to be personally responsible for production-level codepossesses ingenuity to leverage all available tools and resourcescommunicates well, both written and verballywhat you need to know:full mdv benefit package, supplemental benefits, and 401k plan offeredwe cannot sponsor visas at this time","https://www.dice.com/jobs/detail/Full-Stack-Developer-TNT-Staffing-Edison-NJ-08817/10228800/FullStackruby?icid=sr9594-320p&q=&l=New%20York,%20NY"
9720546dece0d5ee07bfe88622c93052,full stack developer,TNT Staffing,"position descriptionthe ideal candidate will thrive in a work environment that requires strong problem solving skills and independent self-direction, coupled with an aptitude for team collaboration and open communication. you will work with the development team to design and deliver finished, high quality, and compelling features and products on time. responsibilities design, build, and maintain efficient, reusable, and reliable ruby code with full-stack developmentroll out new features, and analyzing (and reacting) to the results you discover from our system services and user feedbackoptimize existing functionality for improved response timescollaborate with the team to design, develop, unit test, and support new featuressearching creatively for the best solution, while building for the end-userconsistently deliver readable, maintainable and efficient codeperformance tuning, testing, refactoring, usability, and automationparticipate actively in scrums, sprint planning meetings, and sprint retrospectives.rapidly mockup a proof-of-concept implementation of an idea and present to internal stakeholdersstay informed of new tools, libraries, and best practices and sharing ideas with the team for continuous improvement of the tool-chain and development processsupport, maintain, and help document software functionalitywork with other departments, stakeholders, and customers on software development, improvements, internal tools, and implementation issuesqualifications: b.s. in a stem field or equivalent experience4+ years programming experience for both web and mobile appsproficient in ruby 2+, rails 4+, rspec, javascript coffeescript/angular, css/scss, html, postgres dbif you don’t have ruby experience, strong experience in multiple of the following is desired: python, php, java or go.proficient in modifying any gem library or writing a custom ruby gem and bundling it into your own projectproficient in with git and github.3+ years linux sysadmin experience; vps2+ years of sql, any flavor (mysql, sql server, postgresql, sybase, oracle, etc.)2+ years fe/ui developmentrequirementsexperience with amazon web services (aws) a plusopen-source contributionsunderstanding web application security (owasp)understanding of software development practices and life-cycleexceptional programming skills, ability to produce quality code that is maintainable, efficient, reliable and secure.agile, lean, or similar development methodologies/experiencedistributed version control (git) and regular deploymentsexperience in database design and concepts (postgres, sqlite, orm)understanding of media monetization, trafficking, and ad-operationsfamiliarity with writing regular expressionsif you don’t have ruby experience, strong experience in multiple of the following is desired: python, php, java or go.strong knowledge with ui/ux, html/html5, xhtml, css 2/3, javascript, jquery, ajax, materialized, bootstrap, responsive, and mobile with direct experience optimizing design concepts around these technologies.web standards, responsive design, and cross-browser compatibility using jquery, angularjs / ext js or similarself-motivated and able to work in a small team with minimal supervisionstrong conceptualization ability, strong visual communication ability ability to solve problems creatively and effectivelykey attributes:wants to build something meaningful, always with the end-user experience in mindis a forward thinker, obsessed with good software design and best practicesis serious and professional. our desire is to build a lasting enterprisebrings passion, innovation and problem solving to every endeavorhas a preoccupation with staying on top of industry trends and new technologydesire to be personally responsible for production-level codepossesses ingenuity to leverage all available tools and resourcescommunicates well, both written and verballywhat you need to know:full mdv benefit package, supplemental benefits, and 401k plan offeredwe cannot sponsor visas at this time","https://www.dice.com/jobs/detail/Full-Stack-Developer-TNT-Staffing-Edison-NJ-08817/10228800/FullStackruby?icid=sr61271-2043p&q=&l=California,%20Us,%20CALIFORNIA"
